CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF13561.9	1	1	20	1	0.0823923400657854	0.999999999831207	1	20	13.8739658563854	1.43168373027584	1	1	20	17.4369829281927	1.23759820534698	0.0980352056545589	0.0792140819459841
PF08240.15	1	1	24	7	0.207010265002971	0.990441197255857	1	24	13.0947379671744	1.26486715062632	0.999954168379551	1	24	10.0473689835872	1.2552435943377	0.181743694529864	0.14478758971541
PF00107.29	1	1	24	7	0.207969422776606	0.989066022189487	1	24	13.1118187542172	1.24779615014875	0.999940005002777	1	24	10.0559093771086	1.24987029617696	0.187131851359453	0.149721016598156
PF12698.10	1	1	20	9	0.062479892830967	0.999577031637809	1	22.1176470588235	12.9556607096577	0.318466580854352	0.999999910536268	1	21.0588235294118	10.9059567489813	0.258399356559876	0.0140818426153312	0.0140818426153312
PF01264.24	1	1	24	11	0.004991023474828	0.999984062412426	1	24	14.0104385485658	0.121021413627701	0.999999999872996	1	24	12.5052192742829	0.108837898664266	0.00687383307677805	0.00687383307677805
PF03703.17	0.898239271017049	1	24	7	0.0304704902160923	0.723113330857925	1	24	1.00007368029384	0.0904478300184627	0.929805735907747	1	24	4.00003684014692	0.0512215683894303	0.00547716732984285	0.00547716732984285
PF07905.14	1	1	20	11	0.018484278636902	0.970283853197082	1	20	10.1101720436617	0.0860774597499999	0.999554035675356	1	20	10.5550860218308	0.0644478157722641	0.014435443993811	0.014435443993811
PF17853.4	1	1	24	7	0.15504819179573	0.98922301178308	1	24	9.48461098609826	0.590806623813929	0.999941718518246	1	24	8.24230549304913	0.516993087665662	0.0210447212657167	0.0210447212657167
PF13556.9	1	1	24	7	0.108622801800108	0.962260091321431	1	24	10.5365167027717	0.488060425530779	0.999278717836984	1	24	8.76825835138585	0.444936548028701	0.00388259762708037	0.00388259762708037
PF13649.9	1	1	20	1	0.0382692128659101	0.99984564562847	1	24	1.00005646964543	0.54599436641171	0.999999988086751	1	22	1.00835921525416	0.495073687402919	0.0265160778271091	0.0265160778271091
PF00092.31	0.455602586713698	1	20	5	0.0203895597394123	0.802137649841485	1	20	5.06503091971373	0.146474765543715	0.733327429349589	1	20	5.03251545985687	0.116931758292496	0.0528534155925942	0.0528534155925942
PF00144.27	1	1	20	1	0.0166228119581701	0.994927256988175	1	20	0.999945142906199	0.0762398482342017	0.999987111827904	1	20	0.999972571453099	0.0763767514506399	0.011811437547572	0.011811437547572
PF07732.18	1	1	20	9	0.0035450012098363	0.957046904216805	1	20.8888888888889	5.233249604853	0.0721337677272189	0.99906401674488	1	20.4444444444444	7.16095193428977	0.0237771097872283	0.0343665630544312	0.0343665630544312
PF00394.25	1	1	20	9	0.000742664665154552	0.999806244326916	1	24	13.2153692534787	0.00166537342563398	0.999999981228157	1	22	11.0070442411777	0.000767824787219725	0.000372320910641681	0.000372320910641681
PF07731.17	1	1	20	9	0.0035450012098363	0.956984173052494	1	20.8888888888889	5.23404360570266	0.0710319327009895	0.999061260610337	1	20.4444444444444	7.16134048789705	0.0234153771413674	0.0338469643287091	0.0338469643287091
PF00795.25	1	1	24	1	0.0365834286459055	0.999382712217427	1	20	13.1882188011481	0.32141497364648	0.999999809438682	1	22	18.7118536739648	0.320883612188422	0.0146506046356525	0.0146506046356525
PF00672.28	1	1	24	7	0.9001181403617	0.998179221094906	1	24	12.9423128141605	4.5071371392828	0.999998341375121	1	24	9.97115640708025	3.59017169372588	0.466346529948758	0.129895328060142
PF01966.25	1	1	24	7	0.796911489443329	0.999324106990613	1	24	9.58896091527835	4.8573195873977	0.999999771532841	1	24	8.29448045763917	4.40780556154584	0.148955270376986	0.0337935211290823
PF00587.28	1	1	24	9	0.0924797150360581	0.998390885204613	1	24	13.1818721871758	2.01819078308409	0.999998704679828	1	24	11.0909360935879	1.85991196756018	0.00179974361185414	0.000967649890556395
PF04073.18	1	1	20	15	0.0496085580366491	0.999987078576418	1	24	13.5878690023305	0.297144411217899	0.999999999916518	1	22	14.4777732927348	0.221304957091949	0.013317692465455	0.013317692465455
PF03129.23	1	1	20	9	0.0711906977541976	0.99955325619985	1	24	13.0215973538828	1.66878409115808	0.999999900195125	1	22	10.9182321205296	1.53261720538697	0.0164182216047697	0.0107125390130436
PF01648.23	1	1	20	1	0.0303934487172884	0.86733278419272	1	24	13.3471812629465	0.125383724690215	0.990782463879403	1	22	17.6674580788505	0.115206211806671	0.00600259238303478	0.00600259238303478
PF01134.25	0.898239271017049	1	24	21	0.0323897689229147	0.994105815675612	1	20	5.08688409444747	0.182695243577522	0.994053408209315	1	22	1.42278625194611	0.154080863033453	0.0331780675789399	0.0331780675789399
PF03738.17	0.170690770135215	1	20	15	0.00249083271223476	0.360019940652183	1	20	13.0002510511221	0.00854856590241061	0.232872511965978	1	20	14.000125525561	0.00366588902936774	0.00412354601409791	0.00412354601409791
PF00005.30	0.647739564961787	1	24	7	6.04887222897718	0.493445401122508	1	24	14.8628998038265	23.1836065889011	0.68419044718923	1	24	10.9314499019132	25.1582723785635	1.057165122427	0.0420205770300736
