CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF13561.9	0.317366540758354	0.00804820693709583	24	4	0.371979201122262
PF08240.15	1	0.207574955908289	24	2	0.270688212609394
PF00107.29	1	0.207574955908289	24	2	0.280861575020641
PF12698.10	1	0.898239271017049	20	12	0.0186632206036904
PF01264.24	1	1	20	4	0.0174937319496493
PF03703.17	1	0.647739564961787	20	0	0.00538746829802892
PF07905.14	0.808668058141859	0.0832745443856555	24	6	0.0420986063852975
PF17853.4	0.257671957671958	0.00388888888888889	20	0	0.104522970415087
PF13556.9	0.257671957671958	0.00388888888888889	24	0	0.142109773222312
PF13649.9	0.224842641583382	0.00173133450911229	24	0	0.478705405657753
PF00092.31	0.257671957671958	0.00388888888888889	24	6	0.0253285376656088
PF00144.27	1	1	24	6	0.0118473350029805
PF07732.18	1	1	20	12	0.00136472948225718
PF00394.25	1	1	0	0	0
PF07731.17	1	1	20	12	0.00136472948225718
PF00795.25	1	0.312045855379189	24	6	0.058508500311042
PF00672.28	0.808668058141859	0.0832745443856555	20	0	0.570767280664764
PF01966.25	1	0.13380658436214	24	20	0.872955514534756
PF00587.28	0.808668058141859	0.0832745443856555	24	2	0.118018499656265
PF04073.18	0.411037068814847	0.0156143445032334	24	6	0.0787216384201114
PF03129.23	1	0.312045855379189	24	2	0.135664726391274
PF01648.23	1	0.647739564961787	24	8	0.0106492886213874
PF01134.25	1	1	20	10	0.0139201925613624
PF03738.17	1	1	20	18	0.000757001336543184
PF00005.30	0.808668058141859	0.0832745443856555	24	0	7.36941673563091
PF12848.10	1	0.647739564961787	20	6	0.0821169007630572
PF16326.8	1	1	20	6	0.0142823609986227
PF01513.24	0.317366540758354	0.00804820693709583	24	8	0.0296855937175668
PF20143.2	0.493769726610546	0.0285920047031158	24	6	0.0434528206889289
PF12419.11	0.808668058141859	0.0832745443856555	24	0	0.012901899334075
PF00176.26	1	0.312045855379189	20	2	0.0808697441845637
PF00271.34	0.808668058141859	0.0832745443856555	20	6	0.766574930051438
PF10646.12	1	0.312045855379189	20	2	0.0631261633086736
PF00977.24	1	0.647739564961787	20	10	0.0316017760202971
PF01205.22	1	1	24	18	0.00809120694030808
PF09186.14	1	1	24	18	0.00963509221494296
PF03806.16	1	1	24	6	0.00297672903644812
PF01471.21	0.411037068814847	0.0156143445032334	20	2	0.0641059246705304
