CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF13561.9	8.90163787590169	2.3404787473209	72	0.949809769663394	20	0.999348556009322	18	15	0.45	1
PF08240.15	7.3797541641576	1.11024772775344	72	0.824046513610909	20	0.999826830823061	18	15	0.45	1
PF00107.29	8.44727068720553	1.05846233583764	72	0.180964898359341	20	0.99999999999808	18	15	0.45	1
PF12698.10	7.35972084057717	1.38670143479944	72	2.92298852264178	20	0.56355271841728	18	15	0.45	1
PF01264.24	8.20843244075981	0.25190958850657	72	2.53589250281269	20	0.709902982171617	18	15	0.45	1
PF03703.17	8.73903373858483	0.183703376692801	72	0.964755796646875	20	0.999250869913741	18	15	0.45	1
PF07905.14	5.23592355674669	0.0553711630402966	72	1.74283100338266	20	0.944202068344417	18	15	0.45	1
PF17853.4	8.70619631230321	1.34761977415201	72	2.25683703275927	20	0.809600174714864	18	15	0.45	1
PF13556.9	8.7954128473733	1.05746183495648	72	1.01625712896885	20	0.998817366974608	18	15	0.45	1
PF13649.9	7.42227381434513	1.33855332669042	57	1.22238364752535	20.7299270072993	0.994664153018804	18	15	0.45	1
PF00092.31	4.80356850861724	0.520193528848937	32	4.23952266956878	22.0725388601036	0.195706097311018	18	15	0.45	1
PF00144.27	5.47569207597398	1.31081036586744	72	3.01632538798844	20	0.529197490946437	18	15	0.45	1
PF07732.18	8.64688110247871	0.0374934911873785	72	2.57405150042105	20	0.695571440194058	18	15	0.45	1
PF00394.25	8.79934512587321	0.0295447062692228	72	2.48405137434723	20	0.729189911391985	18	15	0.45	1
PF07731.17	8.62876614613328	0.0334920886614588	72	2.74215247831903	20	0.631757598516586	18	15	0.45	1
PF00795.25	5.40408243841951	1.11555500988114	70	4.63106554795778	20.0943396226415	0.136604461414522	18	15	0.45	1
PF00672.28	5.64279360677399	8.08222997858442	72	3.39989595231533	20	0.399021958422414	18	15	0.45	1
PF01966.25	9.04550424169012	5.25502591601656	37	1.80225881176124	21.7902813299233	0.93303082108753	18	15	0.45	1
PF00587.28	5.91747418175767	3.39989423441554	72	1.7847663198484	20	0.936447638076092	18	15	0.45	1
PF04073.18	8.28743753104488	0.920907103891596	72	2.83683458311216	20	0.595854750773266	18	15	0.45	1
PF03129.23	5.6873820764575	2.84481472532556	72	1.39812655499325	20	0.985828661065985	18	15	0.45	1
PF01648.23	8.77171453523421	0.290671855469353	72	1.33719130868589	20	0.989631767564617	18	15	0.45	1
PF01134.25	6.20074230298223	0.497562107917036	72	3.13801275028582	20	0.48575810668149	18	15	0.45	1
PF03738.17	9.28887426966402	0.0146368064299324	72	2.14673895789248	20	0.844972363306602	18	15	0.45	1
PF00005.30	7.06487516263274	54.9158552173091	57	1.04993809500469	20.7299270072993	0.998436466789371	18	15	0.45	1
PF12848.10	5.86382795068137	1.71617705072958	59	3.0190508231591	20.6295399515739	0.52820657304186	18	15	0.45	1
PF16326.8	5.71061207019063	0.277076304786647	1	2.94149155911189	24	0.556682174625358	18	15	0.45	1
PF01513.24	8.18815390611796	0.322922554379206	72	2.81826774888773	20	0.602870437752573	18	15	0.45	1
PF20143.2	8.17113389195942	0.317222096009323	72	2.59128850545414	20	0.689068185638222	18	15	0.45	1
PF12419.11	7.52873046870744	0.0440740341245428	6	0.994231896604806	23.6666666666667	0.999022694640081	18	15	0.45	1
PF00176.26	6.09684155834464	1.78647573627836	53	2.48856283770052	20.9336609336609	0.727521310791425	18	15	0.45	1
PF00271.34	5.75676029173743	5.96156869710891	68	3.93933445833959	20.1895734597156	0.255316040366892	18	15	0.45	1
PF10646.12	8.85255293549311	0.339447608929541	1	1.76449784776468	24	0.940272527751386	18	15	0.45	1
PF00977.24	8.9886977573456	0.579571212954873	72	0.219619249503511	20	0.999999999973527	18	15	0.45	1
PF01205.22	6.39657395451171	0.276806749513479	72	2.89886920411764	20	0.572547489854829	18	15	0.45	1
PF09186.14	7.70694731316521	0.238333094806298	72	3.11619426251001	20	0.493418059953286	18	15	0.45	1
PF03806.16	7.75434948830789	0.0386070807322337	41	2.17364865390343	21.5696202531646	0.836598092236124	18	15	0.45	1
PF01471.21	6.96651256854801	0.669869603020964	71	3.86235452329436	20.0470588235294	0.272860749441671	18	15	0.45	1
PF07486.15	6.64155420845094	0.779711693556109	72	2.19859537717126	20	0.828672314351373	18	15	0.45	1
PF02463.22	6.26302298700172	1.14830995022667	58	3.87714190334492	20.6796116504854	0.269415842066509	18	15	0.45	1
