CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF13561.9	1	1	20	7	0.212068265253023	0.999348556009322	1	20	8.90163787590169	2.3404787473209	0.999999787764272	1	20	7.95081893795084	2.02732071271835	0.19770530568066	0.0975204882189383
PF08240.15	0.16798087375976	1	20	7	0.334903836533293	0.999826830823061	1	20	7.3797541641576	1.11024772775344	0.467590925288139	1	20	7.1898770820788	0.795161392251345	0.155941217503063	0.155941217503063
PF00107.29	0.839458824074502	1	20	7	0.234344234754676	0.99999999999808	1	20	8.44727068720553	1.05846233583764	0.986362314980026	1	20	7.72363534360276	0.73323639307669	0.0912042400891339	0.0912042400891339
PF12698.10	0.210776801586019	1	20	7	0.437626745056716	0.56355271841728	1	20	7.35972084057717	1.38670143479944	0.371846859991332	1	20	7.17986042028858	0.846679591859869	0.43924266912321	0.43924266912321
PF01264.24	0.585634848170037	1	20	7	0.051130008366903	0.709902982171617	1	20	8.20843244075981	0.25190958850657	0.780636453408843	1	20	7.6042162203799	0.178370839501263	0.0482378370068894	0.0482378370068894
PF03703.17	1	1	20	5	0.0325941540329357	0.999250869913741	1	20	8.73903373858483	0.183703376692801	0.999999719331963	1	20	6.86951686929241	0.139066384324413	0.0291076336434206	0.0291076336434206
PF07905.14	0.0475563526692728	0.663608703436558	20	5	0.00944132304559267	0.944202068344417	1	20	5.23592355674669	0.0553711630402966	0.184247664580143	1	20	5.11796177837335	0.0275193657377006	0.0236515309209345	0.0236515309209345
PF17853.4	1	1	20	5	0.254646314177793	0.809600174714864	1	20	8.70619631230321	1.34761977415201	0.980599685073836	1	20	6.8530981561516	0.910645228673978	0.241965602430097	0.241965602430097
PF13556.9	1	1	20	5	0.127946801140446	0.998817366974608	1	20	8.7954128473733	1.05746183495648	0.999999300413725	1	20	6.89770642368665	0.787451300528907	0.141590410464716	0.141590410464716
PF13649.9	1	1	24	7	0.290616790899824	0.994664153018804	1	20.7299270072993	7.42227381434513	1.33855332669042	0.999985738981011	1	22.3649635036496	7.26540347464963	1.08553665846479	0.179131753215878	0.165016770110015
PF00092.31	0.00533014872615713	0.328580054384623	24	7	0.165370621402521	0.195706097311018	1	22.0725388601036	4.80356850861724	0.520193528848937	0.00820485629819223	0.46904440849927	23.0362694300518	5.86610684931357	0.332399780220426	0.202137010154715	0.202137010154715
PF00144.27	0.210776801586019	1	24	7	0.320626613536763	0.529197490946437	1	20	5.47569207597398	1.31081036586744	0.356194316821729	1	22	6.21996397511902	0.846632088607151	0.417386416134588	0.417386416134588
PF07732.18	1	1	20	5	0.00863312380856049	0.695571440194058	1	20	8.64688110247871	0.0374934911873785	0.948078866127947	1	20	6.82344055123935	0.0122320450253446	0.0148348226690647	0.0148348226690647
PF00394.25	1	1	20	5	0.00473282725562647	0.729189911391985	1	20	8.79934512587321	0.0295447062692228	0.959483450495524	1	20	6.8996725629366	0.0084382653385268	0.011894775996765	0.011894775996765
PF07731.17	1	1	20	5	0.00789970825948285	0.631757598516586	1	20	8.62876614613328	0.0334920886614588	0.921891962952642	1	20	6.81438307306664	0.0107634816217031	0.0133532663169886	0.0133532663169886
PF00795.25	0.0475563526692728	0.663608703436558	20	7	0.292887129310756	0.136604461414522	1	20.0943396226415	5.40408243841951	1.11555500988114	0.039215614814365	0.852559164429616	20.0471698113207	6.20395311642748	0.756528967906259	0.332001232531143	0.332001232531143
PF00672.28	0.0809096293966304	0.803322925915576	20	5	2.1340715880335	0.399021958422414	1	20	5.64279360677399	8.08222997858442	0.143123364688069	1	20	5.321396803387	5.93674385197392	1.97899730074659	0.333347260735966
PF01966.25	0.26241230001616	1	20	19	0.895589480820605	0.93303082108753	1	21.7902813299233	9.04550424169012	5.25502591601656	0.589364950383754	1	20.8951406649617	3.81457979643982	5.41139700047948	0.0270279952241593	0.00499464282915565
PF00587.28	1	1	20	7	0.520564150506045	0.936447638076092	1	20	5.91747418175767	3.39989423441554	0.997936354814744	1	20	6.45873709087883	2.80072208187574	0.469414383878616	0.167604771253931
PF04073.18	0.484261625323206	1	20	5	0.256375777242107	0.595854750773266	1	20	8.28743753104488	0.920907103891596	0.647184504865581	1	20	6.64371876552244	0.517101586641406	0.277020866716503	0.277020866716503
PF03129.23	1	1	20	7	0.517618909611686	0.985828661065985	1	20	5.6873820764575	2.84481472532556	0.99989910885572	1	20	6.34369103822875	2.27443893727699	0.409999479903159	0.180264008491703
PF01648.23	0.995356156885831	1	20	9	0.0397259646586298	0.989631767564617	1	20	8.77171453523421	0.290671855469353	0.999887477775044	1	20	8.88585726761711	0.247581660142861	0.0343913377012945	0.0343913377012945
PF01134.25	0.397664466748238	1	20	5	0.148990876791487	0.48575810668149	1	20	6.20074230298223	0.497562107917036	0.510775074396408	1	20	5.60037115149112	0.322185665336747	0.158725726640862	0.158725726640862
PF03738.17	0.104105247708058	0.882493570649679	20	9	0.00496683031662468	0.844972363306602	1	20	9.28887426966402	0.0146368064299324	0.301794323093585	1	20	9.14443713483201	0.00737435051569488	0.00434802673024388	0.00434802673024388
PF00005.30	0.995356156885831	1	20	7	7.18490157333603	0.998436466789371	1	20.7299270072993	7.06487516263274	54.9158552173091	0.999980739436599	1	20.3649635036496	7.03411539196709	46.1075038102455	5.56614554579967	0.12072103423137
PF12848.10	0.210776801586019	1	20	7	0.533245819439614	0.52820657304186	1	20.6295399515739	5.86382795068137	1.71617705072958	0.355736012760918	1	20.314769975787	6.44226294448435	1.1175176864385	0.516642265281456	0.462312383554286
PF16326.8	0.26241230001616	1	24	7	0.0906590119741895	0.556682174625358	1	24	5.71061207019063	0.277076304786647	0.42708009449727	1	24	6.35530603509532	0.178643820220108	0.0706803827793763	0.0706803827793763
PF01513.24	0.16798087375976	1	20	7	0.0653549146581253	0.602870437752573	1	20	8.18815390611796	0.322922554379206	0.333176371400595	1	20	7.59407695305898	0.241587875494573	0.0689378240017907	0.0689378240017907
PF20143.2	0.16798087375976	1	20	7	0.0721090390964488	0.689068185638222	1	20	8.17113389195942	0.317222096009323	0.36534493426808	1	20	7.58556694597971	0.235194773185514	0.0761050536016505	0.0761050536016505
PF12419.11	1	1	20	5	0.00674351370750866	0.999022694640081	1	23.6666666666667	7.52873046870744	0.0440740341245428	0.999999522281466	1	21.8333333333333	6.2019261434296	0.0310361260001738	0.0115687788886182	0.0115687788886182
PF00176.26	0.324227026547799	1	20	5	0.743123466811667	0.727521310791425	1	20.9336609336609	6.09684155834464	1.78647573627836	0.576595630435708	1	20.4668304668305	5.53879337296712	0.994333125802171	0.610268246160441	0.610268246160441
PF00271.34	0.210776801586019	1	20	7	2.42567000934518	0.255316040366892	1	20.1895734597156	5.75676029173743	5.96156869710891	0.211072475222437	1	20.0947867298578	6.38145430178224	3.43821537536849	2.21512493394432	0.644265903123334
PF10646.12	0.839458824074502	1	20	3	0.026046926941267	0.940272527751386	1	24	8.85255293549311	0.339447608929541	0.976060076221277	1	22	5.70742009543434	0.343610806884089	0.0625018622297744	0.0625018622297744
PF00977.24	1	1	20	5	0.0517079116470978	0.999999999973527	1	20	8.9886977573456	0.579571212954873	1	1	20	6.9943488786728	0.480692396740445	0.0313686776667181	0.0313686776667181
PF01205.22	0.210776801586019	1	20	7	0.0807672017708843	0.572547489854829	1	20	6.39657395451171	0.276806749513479	0.375870906747876	1	20	6.69828697725585	0.191834119436698	0.082447953145953	0.082447953145953
PF09186.14	0.0809096293966304	0.803322925915576	20	7	0.0708836450754966	0.493418059953286	1	20	7.70694731316521	0.238333094806298	0.168504761831753	1	20	7.35347365658261	0.156370773827299	0.0607725308416599	0.0607725308416599
PF03806.16	0.0809096293966304	0.803322925915576	24	7	0.00928512854345308	0.836598092236124	1	21.5696202531646	7.75434948830789	0.0386070807322337	0.249963651199386	1	22.7848101265823	7.41839193423286	0.025034846887008	0.0179990992261839	0.0179990992261839
PF01471.21	0.16798087375976	1	20	7	0.21933637115105	0.272860749441671	1	20.0470588235294	6.96651256854801	0.669869603020964	0.187132081858411	1	20.0235294117647	6.98328560236068	0.417342348850462	0.206419539274691	0.206419539274691
PF07486.15	0.585634848170037	1	20	5	0.263160813333919	0.828672314351373	1	20	6.64155420845094	0.779711693556109	0.836165642714133	1	20	5.82077710422547	0.605902157021724	0.217276823905155	0.217276823905155
PF02463.22	0.104105247708058	0.882493570649679	20	7	0.346734449024549	0.269415842066509	1	20.6796116504854	6.26302298700172	1.14830995022667	0.128285587937625	1	20.3398058252427	6.63952075128804	0.80416659129576	0.28812505886607	0.28812505886607
PF13673.10	0.0145769136180113	0.415143680232252	24	5	1.02086727608709	0.133350969727865	1	21.4070351758794	5.18592733092737	3.42447959642623	0.0140794425867899	0.562728135617505	22.7035175879397	5.11495205873549	1.94805481959636	1.41667367339695	0.72722474703791
PF07670.17	0.16798087375976	1	20	7	0.753109918784633	0.336758122597414	1	20.5301204819277	6.17073905088621	2.1480828384595	0.219051588386834	1	20.2650602409638	6.59192048453681	1.36016551128599	0.685468180368902	0.503959389266394
PF00015.24	0.703461686116754	1	20	1	0.239879165885059	0.966104967949264	1	24	13.1318802722431	4.50268187816593	0.942102990800764	1	22	6.56877845811143	4.75719926106026	1.05065150015351	0.220855054097386
PF03807.20	1	1	20	11	0.0452963993434447	0.999043716225315	1	20	12.1529020175002	0.264063145021709	0.999999542614851	1	20	11.5764510087501	0.211670289155496	0.0352780298510791	0.0352780298510791
PF14748.9	1	1	20	11	0.0365530058117285	0.999917395200927	1	20	9.62307791470401	0.22994555466109	0.99999999658813	1	20	10.311538957352	0.189292775620195	0.0247242148980902	0.0247242148980902
PF11023.11	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF08455.13	0.0105520953573737	0.371037576826065	24	3	0.0188056954765762	0.538342229481456	1	24	8.47985625870664	0.0980420060418303	0.0350534687140337	0.803343024175737	24	5.73992812935332	0.0512960326265012	0.0224822850780783	0.0224822850780783
PF02746.19	0.995356156885831	1	20	7	0.0418367065373599	0.856532196521945	1	20	5.39058260343853	0.129240060353398	0.988552425220803	1	20	6.19529130171926	0.0788700736595119	0.0508927637246239	0.0508927637246239
PF13378.9	0.995356156885831	1	24	7	0.0302532658786465	0.8951645562943	1	20	5.36480765413307	0.190993375142525	0.993831940308907	1	22	6.15897754310652	0.126933539392654	0.0769031269845632	0.0769031269845632
PF09339.13	0.00754717031043186	0.345114736261063	20	7	0.0351877106367203	0.0656909411189027	1	20.2857142857143	5.24479877795922	0.0922184858736798	0.00426836304505918	0.348845505878232	20.1428571428571	6.12893178764877	0.0528135174525133	0.0387116096452471	0.0387116096452471
PF01614.21	0.019906947875304	0.479934832439259	20	7	0.0268423987965726	0.101226497829264	1	20	5.20700847277538	0.0809252021730281	0.0145230658132466	0.574078585377204	20	6.10350423638769	0.0477341455492699	0.0338119969027263	0.0338119969027263
PF10750.12	1	1	0	NaN	0	0.997438708954636	1	20.7299270072993	5.18668391625314	0.00256105312809994	0.999996717090063	1	20.7299270072993	5.18668391625314	0.0006546547206042	0.00156685943678531	0.00156685943678531
PF01546.31	0.703461686116754	1	20	5	0.142190577245962	0.999532771350786	1	20	5.40108968910402	1.31571154565861	0.950782925638072	1	20	5.20054484455201	1.03883316563835	0.190136511274358	0.183028918948233
PF07687.17	0.484261625323206	1	20	7	0.266214875058072	0.871707951261733	1	20.431654676259	5.3787844622992	1.04073721788629	0.786196684139909	1	20.2158273381295	6.19875294245801	0.759731044769484	0.211414576520332	0.211414576520332
PF04211.16	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF13190.9	0.585634848170037	1	24	21	0.01875136734094	0.824418353442011	1	24	20.9999263197062	0.228744952504227	0.834358077423053	1	24	20.9999631598531	0.0887360319701619	0.037728013794259	0.037728013794259
PF01912.21	1	1	0	NaN	0	0.999965660901222	1	23.4065934065934	5.27919789771254	0.00225943350292701	0.999999999410406	1	23.4065934065934	5.27919789771254	0.000968601383231624	0.000918775330118214	0.000918775330118214
PF03833.16	0.397664466748238	1	20	7	0.000304741833805121	0.421930918362387	1	20	7.34759182626881	0.00108134216548086	0.467296737269047	1	20	7.17379591313441	0.00042438244068514	0.000614360967742271	0.000614360967742271
PF10672.12	0.397664466748238	1	24	7	0.14965777496682	0.801522666908735	1	20.9336609336609	8.01753481764762	0.520190397753053	0.683177465339922	1	22.4668304668305	7.57878005179833	0.338534484544394	0.0899352801600717	0.0899352801600717
PF01368.23	0.585634848170037	1	20	7	0.175249973479301	0.870344450369789	1	20.0943396226415	8.18584885448834	1.25190470349615	0.853206353251407	1	20.0471698113207	7.59157134040548	1.02412897675811	0.135808485475616	0.132608771509932
PF02833.17	1	1	24	13	0.056424068192073	0.995509311196892	1	24	8.44948834795096	0.192984820004807	0.999989901729636	1	24	10.7247441739755	0.140198277110603	0.0308287304486407	0.0308287304486407
PF04851.18	0.16798087375976	1	20	7	1.37077579325184	0.374614226182379	1	20.5301204819277	5.6233840234679	3.64079232176921	0.23697207022118	1	20.2650602409638	6.3217763659577	2.0923113717283	1.23276849940983	0.589189790806103
PF18195.4	0.771460255095628	1	0	NaN	0	0.353440205649825	1	20	7.75917977917617	0.00121257189086145	0.626996353025497	1	20	7.75917977917617	0.000398277454372127	0.000668261483423693	0.000668261483423693
PF00710.23	1	1	20	1	0.044825700250548	0.999999951022738	1	20	5.19548488105529	0.231568382075874	0.999999999999999	1	20	3.09774244052765	0.192118864609176	0.0256216129165532	0.0256216129165532
PF17763.4	1	1	20	1	0.0437964191588185	0.99999995669339	1	20	5.18577743675979	0.230380388538358	0.999999999999999	1	20	3.09288871837989	0.191349615646203	0.0255802126448094	0.0255802126448094
PF01844.26	0.484261625323206	1	24	3	0.15625615621056	0.911473070310824	1	24	2.70479828578094	0.853196986414449	0.802371582489735	1	24	2.85239914289047	0.571875059514231	0.237823279824494	0.237823279824494
PF17957.4	1	1	20	19	0.030434247165496	0.999999999997338	1	20	8.84721459247085	0.0727190406652438	1	1	20	3.92360729623542	0.059223740063776	0.0202002751867378	0.0202002751867378
PF13750.9	0.0809096293966304	0.803322925915576	24	9	0.00704393105300792	0.628752104826172	1	24	8.56738566108502	0.0455528932354321	0.20239162940276	1	24	8.78369283054251	0.0177671713133378	0.0079517870524406	0.0079517870524406
