zt_time	.y.	group1	group2	n1	n2	p	p.signif	p.adj	p.adj.signif
1	shannon_entropy	NA	FA	3	2	0.109	ns	0.164	ns
1	shannon_entropy	NA	FT	3	2	0.106	ns	0.164	ns
1	shannon_entropy	FA	FT	2	2	0.982	ns	0.982	ns
5	shannon_entropy	NA	FA	3	2	0.0573	ns	0.172	ns
5	shannon_entropy	NA	FT	3	2	0.297	ns	0.297	ns
5	shannon_entropy	FA	FT	2	2	0.257	ns	0.297	ns
9	shannon_entropy	NA	FA	3	2	0.104	ns	0.157	ns
9	shannon_entropy	NA	FT	3	2	0.0209	*	0.0627	ns
9	shannon_entropy	FA	FT	2	2	0.217	ns	0.217	ns
13	shannon_entropy	NA	FA	3	2	0.107	ns	0.161	ns
13	shannon_entropy	NA	FT	3	2	0.0518	ns	0.155	ns
13	shannon_entropy	FA	FT	2	2	0.573	ns	0.573	ns
17	shannon_entropy	NA	FA	3	2	0.423	ns	0.47	ns
17	shannon_entropy	NA	FT	3	2	0.152	ns	0.457	ns
17	shannon_entropy	FA	FT	2	2	0.47	ns	0.47	ns
21	shannon_entropy	NA	FA	3	2	0.22	ns	0.22	ns
21	shannon_entropy	NA	FT	3	2	0.0324	*	0.0972	ns
21	shannon_entropy	FA	FT	2	2	0.183	ns	0.22	ns
