sample_name	condition	diet	schedule	zt_time	replicate	lightdark	cond_phase	cond_zt	fasted	cond_fasted
NA1a	NA	normal chow	ad libitum	13	a	dark	NA_dark	NA_13	fasted	NA_fasted
NA2a	NA	normal chow	ad libitum	17	a	dark	NA_dark	NA_17	fed	NA_fed
NA3a	NA	normal chow	ad libitum	21	a	dark	NA_dark	NA_21	fed	NA_fed
NA4a	NA	normal chow	ad libitum	1	a	light	NA_light	NA_1	fed	NA_fed
NA5a	NA	normal chow	ad libitum	5	a	light	NA_light	NA_5	fasted	NA_fasted
NA6a	NA	normal chow	ad libitum	9	a	light	NA_light	NA_9	fasted	NA_fasted
FA1b	FA	high fat diet	ad libitum	13	b	dark	FA_dark	FA_13	fasted	FA_fasted
FA2b	FA	high fat diet	ad libitum	17	b	dark	FA_dark	FA_17	fed	FA_fed
FA3b	FA	high fat diet	ad libitum	21	b	dark	FA_dark	FA_21	fed	FA_fed
FA4b	FA	high fat diet	ad libitum	1	b	light	FA_light	FA_1	fed	FA_fed
FA5b	FA	high fat diet	ad libitum	5	b	light	FA_light	FA_5	fasted	FA_fasted
FA6b	FA	high fat diet	ad libitum	9	b	light	FA_light	FA_9	fasted	FA_fasted
FT1b	FT	high fat diet	time restricted	13	b	dark	FT_dark	FT_13	fasted	FT_fasted
FT2b	FT	high fat diet	time restricted	17	b	dark	FT_dark	FT_17	fed	FT_fed
FT3b	FT	high fat diet	time restricted	21	b	dark	FT_dark	FT_21	fed	FT_fed
FT4b	FT	high fat diet	time restricted	1	b	light	FT_light	FT_1	fed	FT_fed
FT5b	FT	high fat diet	time restricted	5	b	light	FT_light	FT_5	fasted	FT_fasted
FT6b	FT	high fat diet	time restricted	9	b	light	FT_light	FT_9	fasted	FT_fasted
NA1b	NA	normal chow	ad libitum	13	b	dark	NA_dark	NA_13	fasted	NA_fasted
NA2b	NA	normal chow	ad libitum	17	b	dark	NA_dark	NA_17	fed	NA_fed
NA3b	NA	normal chow	ad libitum	21	b	dark	NA_dark	NA_21	fed	NA_fed
NA4b	NA	normal chow	ad libitum	1	b	light	NA_light	NA_1	fed	NA_fed
NA5b	NA	normal chow	ad libitum	5	b	light	NA_light	NA_5	fasted	NA_fasted
NA6b	NA	normal chow	ad libitum	9	b	light	NA_light	NA_9	fasted	NA_fasted
FA1c	FA	high fat diet	ad libitum	13	c	dark	FA_dark	FA_13	fasted	FA_fasted
FA2c	FA	high fat diet	ad libitum	17	c	dark	FA_dark	FA_17	fed	FA_fed
FA3c	FA	high fat diet	ad libitum	21	c	dark	FA_dark	FA_21	fed	FA_fed
FA4c	FA	high fat diet	ad libitum	1	c	light	FA_light	FA_1	fed	FA_fed
FA5c	FA	high fat diet	ad libitum	5	c	light	FA_light	FA_5	fasted	FA_fasted
FA6c	FA	high fat diet	ad libitum	9	c	light	FA_light	FA_9	fasted	FA_fasted
FT1c	FT	high fat diet	time restricted	13	c	dark	FT_dark	FT_13	fasted	FT_fasted
FT2c	FT	high fat diet	time restricted	17	c	dark	FT_dark	FT_17	fed	FT_fed
FT3c	FT	high fat diet	time restricted	21	c	dark	FT_dark	FT_21	fed	FT_fed
FT4c	FT	high fat diet	time restricted	1	c	light	FT_light	FT_1	fed	FT_fed
FT5c	FT	high fat diet	time restricted	5	c	light	FT_light	FT_5	fasted	FT_fasted
FT6c	FT	high fat diet	time restricted	9	c	light	FT_light	FT_9	fasted	FT_fasted
NA1c	NA	normal chow	ad libitum	13	c	dark	NA_dark	NA_13	fasted	NA_fasted
NA2c	NA	normal chow	ad libitum	17	c	dark	NA_dark	NA_17	fed	NA_fed
NA3c	NA	normal chow	ad libitum	21	c	dark	NA_dark	NA_21	fed	NA_fed
NA4c	NA	normal chow	ad libitum	1	c	light	NA_light	NA_1	fed	NA_fed
NA5c	NA	normal chow	ad libitum	5	c	light	NA_light	NA_5	fasted	NA_fasted
NA6c	NA	normal chow	ad libitum	9	c	light	NA_light	NA_9	fasted	NA_fasted
